thickness_min,thickness_max,width_min,width_max,length_min,length_max,height_min,height_max,weight_min,weight_max,inner_diameter_min,inner_diameter_max,outer_diameter_min,outer_diameter_max,tensile_mid,yield_mid,elongation_mid,reduction_mid,hardness_mid,coating,finish,form,surface_type,surface_protection,cluster
190.0,190.0,190.0,190.0,6000.0,,6200.0,,48000.0,48000.0,,,,,705.0,430.0,16.0,,210.0,,As Rolled (+AR),Round Bars,,,2
6.0,6.0,750.0,750.0,,,,,12000.0,12000.0,,,,,525.0,275.0,22.0,,,,,Slit Coils,,,0
0.9,0.9,1250.0,1320.0,,,,,,,,,,,380.0,210.0,32.0,,,,,Sheets,,,0
0.9,0.9,1250.0,1320.0,,,,,,,,,,,380.0,240.0,29.0,,,,,Sheets,,,0
10.0,10.0,750.0,750.0,,,,,20000.0,20000.0,,,,,525.0,275.0,22.0,,,,,Slit Coils,,,0
8.0,8.0,750.0,750.0,,,,,16000.0,16000.0,,,,,525.0,275.0,22.0,,,,,Slit Coils,,,0
2.0,2.0,1500.0,1500.0,,,,,,,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
0.9,0.9,1500.0,1600.0,,,,,,,,,,,380.0,210.0,32.0,,,,,Sheets,,,0
0.9,0.9,1500.0,1600.0,,,,,,,,,,,380.0,240.0,29.0,,,,,Sheets,,,0
,,,,,,,,48000.0,48000.0,,,,,550.0,350.0,22.0,,,,,,,,0
12.0,12.0,1500.0,1500.0,3000.0,,3000.0,,25000.0,25000.0,,,,,485.0,275.0,23.0,,,,,Sheets,,,0
,,,,,,,,,,,,,,,,,,,,,,,,0
4.0,4.0,1500.0,1500.0,3000.0,,3000.0,,1000.0,1000.0,,,,,340.0,380.0,28.0,,,,1U,Plates,,,0
5.0,5.0,1500.0,1500.0,3000.0,,3000.0,,1000.0,1000.0,,,,,340.0,380.0,28.0,,,,1U,Plates,,,0
6.0,6.0,1500.0,1500.0,3000.0,,3000.0,,1000.0,1000.0,,,,,435.0,235.0,26.0,,,,,Plates,,,0
,,,,,,,,,,,,,,340.0,380.0,28.0,,,,,Strips,,,0
1.0,1.0,1404.0,,,,,,24000.0,24000.0,,,,,385.0,350.0,22.0,,,AZ150,Aluzinc (+AZ),Coils,,,0
0.77,0.87,1250.0,1250.0,,,,,20000.0,20000.0,,,,,310.0,210.0,38.0,,,ZE20/20,Electro-Galvanized (+ZE),Slit Coils,,,0
0.9,0.9,1500.0,1600.0,,,,,,,,,,,385.0,350.0,22.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Sheets,,,0
3.0,3.0,,1520.0,,,,,,50000.0,610.0,,,,550.0,420.0,23.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,,0
1.5,1.5,1500.0,1500.0,,,,,,24000.0,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,,,0
1.8,1.8,,1520.0,,,,,10000.0,25000.0,610.0,,,,310.0,210.0,38.0,,,,Cold Rolled,Coils,,Lightly Oiled (L),0
1.0,1.0,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,,,Sheets,"Minimized spangle, conventional surface (MA)",Oiled (O),0
1.2,1.2,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,,,Sheets,"Minimized spangle, conventional surface (MA)",Oiled (O),0
2.0,2.0,1250.0,1500.0,,,,,60000.0,60000.0,,,,,385.0,350.0,22.0,,,ZM430,,Coils,,,0
2.0,2.0,1250.0,1500.0,,,,,60000.0,60000.0,,,,,500.0,350.0,16.0,,,ZM430,,Coils,,,0
2.0,2.0,150.0,150.0,,,,,60000.0,60000.0,,,,,385.0,350.0,22.0,,,ZM430,,Strips,,,0
2.0,2.0,150.0,150.0,,,,,60000.0,60000.0,,,,,500.0,350.0,16.0,,,ZM430,,Strips,,,0
5.0,5.0,1500.0,1500.0,3000.0,,3000.0,,40000.0,40000.0,,,,,435.0,235.0,26.0,,,,,Sheets,,,0
6.0,6.0,1500.0,1500.0,3000.0,,3000.0,,70000.0,70000.0,,,,,435.0,235.0,26.0,,,,,Plates,,,0
8.0,8.0,3000.0,3000.0,12000.0,,12000.0,,36000.0,36000.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
,,600.0,1520.0,,,,,20000.0,25000.0,,,,,310.0,210.0,38.0,,,,Cold Rolled (+CR),Coils,,Lightly Oiled (L),0
2.24,2.3,,1520.0,,,,,,25000.0,610.0,610.0,,,340.0,280.0,28.0,,,,Cold Rolled,Coils,,Oiled (O),0
2.3,2.3,800.0,,,,,,,,,,,,550.0,420.0,23.0,,,,,Coils,,,0
2.3,2.3,800.0,,,,,,,,,,,,515.0,380.0,23.0,,,,,Coils,,,0
1.14,1.26,,,,,,,50000.0,50000.0,,,,,550.0,420.0,23.0,,,,,Coils,,,0
3.8,4.0,500.0,,,,,,20000.0,20000.0,,,,,340.0,380.0,28.0,,,,,Slabs,,,0
1.61,1.79,,,,,,,,,,,,,300.0,180.0,42.0,,,,,Coils,,,0
1.5,1.5,,,,,,,,,,,,,625.0,500.0,19.0,,,,Cold Rolled,Coils,,,0
1.5,1.5,,,,,,,,,,,,,680.0,550.0,17.0,,,,Cold Rolled,Coils,,,2
2.0,2.0,,,,,,,,,,,,,790.0,650.0,12.0,,,,Hot Rolled,Coils,,,2
2.0,2.0,,,,,,,,,,,,,850.0,700.0,12.0,,,,Hot Rolled,Coils,,,2
1.5,1.5,,,,,,,,,,,,,625.0,500.0,14.0,,,,Hot Rolled,Coils,,,2
0.5,0.5,,,,,,,,,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
148.0,148.0,1500.0,1500.0,6000.0,,6000.0,,,,,,,,1400.0,1200.0,,,450.0,,,Plates,,,2
162.0,162.0,1500.0,1500.0,6000.0,,6000.0,,,,,,,,1400.0,1200.0,,,450.0,,,Plates,,,2
0.9,0.9,,,,,,,60000.0,60000.0,,,,,310.0,220.0,36.0,,,AS050,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,310.0,220.0,36.0,,,AS060,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,310.0,220.0,36.0,,,AS080,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,310.0,220.0,36.0,,,AS100,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,310.0,220.0,36.0,,,AS120,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,325.0,260.0,30.0,,,AS050,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,325.0,260.0,30.0,,,AS060,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,325.0,260.0,30.0,,,AS080,,,,,0
3.0,3.0,,,,,,,,,,,,,465.0,320.0,17.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
0.5,0.5,1000.0,1000.0,,,,,1000.0,1000.0,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Sheets,,,0
0.6,0.6,1000.0,1000.0,,,,,1000.0,1000.0,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Sheets,,,0
0.45,0.45,1250.0,1250.0,,,,,8000.0,8000.0,,,7016.0,7016.0,385.0,350.0,22.0,,,Z200,Hot-dip Galvanized (+Z/+GI),Coils,,,3
0.6,0.6,1200.0,,,,,,,25000.0,,,,,430.0,300.0,27.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
4.0,4.0,1500.0,1500.0,3000.0,,3000.0,,,24000.0,,,,,435.0,235.0,26.0,,,,Hot Rolled,Sheets,,,0
2.0,2.0,,,,,,,18000.0,25000.0,,,,,400.0,260.0,27.0,,,,Cold Rolled,Coils,,Lightly Oiled (L),0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,325.0,260.0,30.0,,,AS100,,,,,0
0.9,0.9,,,,,,,60000.0,60000.0,,,,,325.0,260.0,30.0,,,AS120,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,310.0,220.0,36.0,,,AS050,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,310.0,220.0,36.0,,,AS060,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,310.0,220.0,36.0,,,AS080,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,310.0,220.0,36.0,,,AS100,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,310.0,220.0,36.0,,,AS120,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,325.0,260.0,30.0,,,AS050,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,325.0,260.0,30.0,,,AS060,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,325.0,260.0,30.0,,,AS080,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,325.0,260.0,30.0,,,AS100,,,,,0
1.2,1.2,,,,,,,10000.0,10000.0,,,,,325.0,260.0,30.0,,,AS120,,,,,0
,,,,,,,,,,,,,,500.0,350.0,16.0,,,ZM310,,,,,0
1.8,1.8,,,,,,,18000.0,25000.0,,,,,310.0,220.0,36.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,,,0
5.5,5.7,600.0,1550.0,,,,,,,,,,,550.0,420.0,19.0,,,,Oiled,Plates,,,0
4.0,4.08,600.0,1550.0,,,,,,,,,,,680.0,550.0,15.0,,,,Oiled,Sheets,,,2
4.0,4.08,600.0,1550.0,,,,,,,,,,,735.0,600.0,13.0,,,,Oiled,Sheets,,,2
1.5,1.5,600.0,1550.0,,,,,,,,,,,310.0,280.0,38.0,,,,Oiled,Sheets,,,0
3.15,3.35,600.0,1550.0,,,,,,,,,,,625.0,500.0,14.0,,,,Oiled,Sheets,,,2
3.15,3.35,600.0,1550.0,,,,,,,,,,,680.0,550.0,15.0,,,,Oiled,Sheets,,,2
3.0,3.0,600.0,1520.0,,,,,,25000.0,610.0,610.0,,,595.0,460.0,17.0,,,,Hot Rolled,Coils,,Oiled (O),0
1.2,1.2,806.0,,,,,,,,,,,,550.0,420.0,23.0,,,,Cold Rolled (+CR),Coils,,,0
1.14,1.26,600.0,,,,,,50000.0,50000.0,,,,,550.0,420.0,23.0,,,,,Coils,,,0
4.0,4.0,,1520.0,,,,,,25000.0,610.0,610.0,,,435.0,235.0,26.0,,,,,Coils,,Oiled (O),0
3.0,3.0,2000.0,2000.0,6000.0,,6000.0,,30000.0,30000.0,,,,,490.0,355.0,22.0,,,,Hot Rolled,Sheets,,,0
3.8,4.0,500.0,,,,,,20000.0,20000.0,,,,,435.0,235.0,26.0,,,,,Slabs,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,340.0,380.0,28.0,,,,Oiled,Sheets,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,340.0,280.0,28.0,,,,Oiled,Sheets,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,Sheets,,,0
2.55,2.65,600.0,1550.0,,,,,,,,,,,490.0,355.0,22.0,,,,Oiled,Sheets,,,0
18.0,18.0,1450.0,1450.0,9880.0,,10150.0,,300000.0,300000.0,,,,,490.0,355.0,22.0,,,,,Plates,,,0
6.0,6.0,20.9,20.9,,,,,11000.0,11000.0,,,,,490.0,265.0,22.0,,,,,Flat Bars,,,0
6.0,6.0,43.2,43.2,,,,,1500.0,1500.0,,,,,490.0,265.0,22.0,,,,,Flat Bars,,,0
6.0,6.0,40.9,40.9,,,,,5000.0,5000.0,,,,,490.0,265.0,22.0,,,,,Flat Bars,,,0
6.0,6.0,60.9,60.9,,,,,7500.0,7500.0,,,,,490.0,265.0,22.0,,,,,Flat Bars,,,0
6.0,6.0,2000.0,2000.0,6000.0,,6000.0,,23000.0,23000.0,,,,,435.0,235.0,26.0,,,,,Sheets,,,0
8.0,8.0,2000.0,2000.0,6000.0,,6000.0,,3080.0,3080.0,,,,,550.0,355.0,22.0,,,,,Sheets,,,0
12.0,12.0,1500.0,1500.0,3000.0,,3000.0,,24000.0,24000.0,,,,,850.0,700.0,12.0,,,,,Sheets,,,2
5.3,5.5,600.0,1550.0,,,,,,,,,,,490.0,355.0,22.0,,,,Oiled,Coils,,,0
5.5,5.7,600.0,1550.0,,,,,,,,,,,550.0,420.0,19.0,,,,Oiled,Coils,,,0
4.0,4.08,600.0,1550.0,,,,,,,,,,,680.0,550.0,15.0,,,,Oiled,Coils,,,2
4.0,4.08,600.0,1550.0,,,,,,,,,,,735.0,600.0,13.0,,,,Oiled,Coils,,,2
1.5,1.5,600.0,1550.0,,,,,,,,,,,310.0,280.0,38.0,,,,Oiled,Coils,,,0
3.15,3.35,600.0,1550.0,,,,,,,,,,,625.0,500.0,14.0,,,,Oiled,Coils,,,2
3.15,3.35,600.0,1550.0,,,,,,,,,,,680.0,550.0,15.0,,,,Oiled,Coils,,,2
0.6,0.6,1500.0,1500.0,,,,,,,,,,,340.0,280.0,28.0,,,,Cold Rolled,Coils,Conventional surface (A),Oiled (O),0
1.25,1.25,1250.0,1250.0,,,,,,,,,,,340.0,280.0,28.0,,,ZV25/25,,Coils,Conventional surface (A),Phosphated (P),0
4.0,4.0,1425.0,,,,,,,25000.0,,,,,310.0,240.0,38.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
1.6,1.6,1500.0,1500.0,,,,,1000000.0,1000000.0,,,,,435.0,235.0,26.0,,,,+HR,Sheets,,,0
1.6,1.6,1500.0,1500.0,,,,,1000000.0,1000000.0,,,,,435.0,235.0,26.0,,,,,Sheets,,,0
0.3,0.3,1250.0,1250.0,,,,,500000.0,500000.0,,,,,340.0,280.0,28.0,,,,,Sheets,,,0
2.1,2.1,1250.0,1250.0,,,,,1000000.0,1000000.0,,,,,500.0,350.0,16.0,,,ZM310,,Sheets,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,340.0,380.0,28.0,,,,Oiled,Coils,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,340.0,280.0,28.0,,,,Oiled,Coils,,,0
2.5,2.58,600.0,1550.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,Coils,,,0
2.55,2.65,600.0,1550.0,,,,,,,,,,,490.0,355.0,22.0,,,,Oiled,Coils,,,0
12.0,25.0,,1520.0,,,,,,25000.0,610.0,610.0,,,550.0,355.0,22.0,,,,Oiled,Coils,,,0
12.0,25.0,,1520.0,,,,,,25000.0,610.0,610.0,,,600.0,420.0,19.0,,,,Oiled,Coils,,,2
3.4,3.6,610.0,1520.0,,,,,25000.0,35000.0,610.0,610.0,,,680.0,550.0,15.0,,,,Oiled,Coils,,,2
2.4,2.6,600.0,1520.0,,,,,20000.0,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Hot Rolled,Coils,,Oiled (O),0
4.0,4.0,,,,,,,2500.0,5000.0,,,,,460.0,340.0,24.0,,,,+A,Blanks,,,0
1.8,1.8,,,,,,,18000.0,25000.0,,,,,310.0,220.0,36.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,,0
,,,1520.0,,,,,,25000.0,610.0,610.0,,,340.0,280.0,28.0,,,,Lightly Oiled (L),Slit Coils,,,0
,,,1520.0,,,,,,25000.0,610.0,610.0,,,310.0,210.0,38.0,,,,Lightly Oiled (L),Slit Coils,,,0
,,,,,,,,,,,,,,310.0,280.0,38.0,,,,,Strips,,,0
0.8,0.8,1250.0,1250.0,,,,,24000.0,24000.0,,,,,385.0,350.0,22.0,,,AZ185,Aluzinc (+AZ),Coils,,,0
2.5,2.5,1250.0,1250.0,,,,,35000.0,35000.0,,,,,385.0,350.0,22.0,,,AZ150,Aluzinc (+AZ),Coils,,,0
,,,,,,,,,,,,,,,,,,,GA100/100,Galvannealed (+ZF/+GA),Coils,,,0
,,,,,,,,,,,,,,,,,,,,Oiled (O),Coils,,,0
,,1000.0,1000.0,,,,,,25000.0,,,,,310.0,220.0,36.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Slit Coils,,Oiled,0
,,1750.0,1750.0,,,,,,25000.0,,,,,310.0,220.0,36.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,,Oiled,0
,,2000.0,2000.0,,,,,,25000.0,,,,,310.0,220.0,36.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,,Oiled,0
1.4,1.4,720.0,,,,,,,,,,,,400.0,260.0,31.0,,,Z10,Hot-dip Galvanized (+Z/+GI),Coils,,,0
,,,,,,,,,,,,,,,,,,,,Dry,Coils,,,0
1.4,1.55,,,,,,,,,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
0.97,1.05,7.0,10.0,,,,,,,,,,,310.0,220.0,36.0,,,ZF090,Galvannealed (+ZF/+GA),Sheets,,,0
3.05,3.35,,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
0.97,1.05,,1620.0,,,,,7000.0,10000.0,,,,,310.0,220.0,36.0,,,ZF080,Galvannealed (+ZF/+GA),Sheets,,,0
1.4,1.55,,,,,,,,,,,,,385.0,350.0,22.0,,,Z250,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
2.5,2.5,,1520.0,,,,,25000.0,120000.0,610.0,610.0,,,435.0,235.0,26.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
2.5,2.5,,,,,,,10000.0,10000.0,,,,,490.0,355.0,22.0,,,,Hot Rolled,Coils,,,0
0.35,0.4,,,,,,,24000.0,24000.0,,,,,385.0,350.0,22.0,,,Z040,Hot-dip Galvanized (+Z),Coils,,,0
0.45,0.6,1350.0,1350.0,,,,,,,,,,,340.0,280.0,28.0,,,,Cold Rolled,Coils,,,0
0.36,0.44,1200.0,1200.0,,,,,,,,,,,460.0,340.0,26.0,,,,+A,Strips,,,0
1.83,2.17,1175.0,1175.0,,,,,,,,,,,435.0,235.0,26.0,,,,+AR Pickled,Plates,,,0
0.6,0.6,1500.0,1500.0,,,,,48000.0,48000.0,,,,,385.0,350.0,22.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,,,0
3.9,3.9,1390.0,,,,,,,,,,,,310.0,240.0,38.0,,,,Hot Rolled,Coils,,Pickled and Oiled,0
3.8,3.8,1342.0,1342.0,,,,,50000.0,50000.0,,,,,925.0,,,,,,,Plates,,,0
15.0,15.0,1500.0,1500.0,3000.0,,3000.0,,2500.0,2500.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
20.0,20.0,1500.0,1500.0,3000.0,,3000.0,,2500.0,2500.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
3.0,3.0,1250.0,1250.0,,,,,500000.0,500000.0,,,,,590.0,550.0,12.0,,,ZM620,,Plates,,,2
1.7,1.7,743.0,743.0,,,,,25000.0,25000.0,,,,,380.0,240.0,29.0,,,,Cold Rolled,Coils,,,0
1.7,1.7,743.0,743.0,,,,,25000.0,25000.0,,,,,400.0,260.0,29.0,,,,Cold Rolled,Coils,,,0
12.0,24.0,,1520.0,,,,,,25000.0,,,610.0,610.0,625.0,500.0,14.0,,,,Oiled,Coils,,,2
2.8,2.8,600.0,1520.0,,,,,15000.0,25000.0,,,610.0,610.0,735.0,600.0,13.0,,,,Hot Rolled,Coils,,Oiled (O),2
0.45,0.55,1118.0,1118.0,,,,,20000.0,20000.0,,,,,485.0,280.0,23.0,,,,,Sheets,,,0
2.15,2.15,448.0,448.0,,,,,2000.0,2000.0,,,,,460.0,340.0,26.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Slit Coils,"Minimized spangle, improved surface (MB)",Oiled (O),0
1.0,1.0,1010.0,1010.0,,,,,6000.0,6000.0,,,,,310.0,210.0,34.0,,,GI50/50,Hot-dip Galvanized (+Z/+GI),Coils,Unexposed (intenal parts) (U),,0
1.2,1.2,1490.0,1490.0,,,,,10000.0,10000.0,,,,,460.0,340.0,26.0,,,Z200,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, improved surface (MB)",Without surface treatment (U),0
1.0,1.0,990.0,990.0,,,,,15000.0,15000.0,,,,,380.0,220.0,32.0,,,GI50/50,Hot-dip Galvanized (+Z/+GI),Coils,,,0
1.4,1.55,,,,,,,,,,,,,385.0,350.0,22.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
2.5,2.5,1250.0,1250.0,,,,,15000.0,15000.0,,,,,310.0,220.0,36.0,,,Z275,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
3.0,3.0,,,,,,,20000.0,25000.0,,,,,,,,,,,Galvanized,Coils,,,0
3.0,3.0,1270.0,1520.0,,,,,25000.0,50000.0,610.0,610.0,,,625.0,500.0,14.0,,,,Oiled,Coils,,,2
2.95,3.05,1000.0,1000.0,,,,,15000.0,20000.0,,,,,340.0,280.0,28.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Conventional surface (A),Phosphated and chemically passivated (PC),0
1.0,1.0,265.0,540.0,,,,,,,,,,,310.0,220.0,36.0,,,AZ150,Aluzinc (+AZ),Sheets,,O,0
,,,,,,,,,,,,,,385.0,350.0,22.0,,,AZ150,Aluzinc (+AZ),Sheets,,,0
,,1500.0,1500.0,1000.0,,1000.0,,25000.0,25000.0,,,,,310.0,210.0,38.0,,,ZE25/25,Electro-Galvanized (+ZE),Coils,Phosphated (P),Without surface treatment (U),0
1.8,1.8,,,,,,,200000.0,200000.0,,,,,385.0,350.0,22.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,,,0
1.4,1.4,128.0,128.0,,,,,18000.0,18000.0,,,,,,,,,,Z140,Hot-dip Galvanized (+Z/+GI),Strips,,,0
1.4,1.4,119.0,119.0,,,,,14000.0,14000.0,,,,,,,,,,Z140,Hot-dip Galvanized (+Z/+GI),Strips,,,0
1.4,1.4,117.0,117.0,,,,,10000.0,10000.0,,,,,,,,,,Z140,Hot-dip Galvanized (+Z/+GI),Strips,,,0
5.7,6.36,1500.0,1500.0,3000.0,,3015.0,,,,,,,,850.0,700.0,12.0,,,,Hot Rolled,Sheets,,Lightly Oiled (L),2
0.45,0.6,1350.0,1350.0,,,,,,,,,,,385.0,350.0,22.0,,,,Hot-dip Galvanized (+Z/+GI),Coils,,,0
1.4,1.4,1250.0,1250.0,,,,,8000.0,12000.0,,,,,500.0,350.0,16.0,,,Z115,Hot-dip Galvanized (+Z/+GI),Coils,,,0
5.0,5.0,1500.0,1500.0,3000.0,,3000.0,,2500.0,2500.0,,,,,550.0,355.0,22.0,,,,,Plates,,,0
2.0,2.4,1000.0,1000.0,,,,,,,,,,,460.0,340.0,26.0,,,,,Coils,,,0
2.0,2.4,1000.0,1000.0,,,,,,,,,,,430.0,300.0,27.0,,,,,Coils,,,0
,,,,,,,,,,610.0,610.0,,,735.0,600.0,13.0,,,,Oiled,Coils,,,2
,,,1520.0,,,,,,25000.0,,,,,,,,,,,Stained,Coils,,,0
4.85,4.99,,1520.0,,,,,,25000.0,610.0,610.0,,,735.0,600.0,13.0,,,,Stained,Coils,,Oiled,2
,,,,,,,,,,610.0,610.0,,,595.0,460.0,17.0,,,,Oiled,,,,0
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
,,,1520.0,,,,,,25000.0,,,,,625.0,500.0,14.0,,,,Oiled,Coils,,,2
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
,,10.0,25.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,Strips,,,0
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
3.0,3.0,,,,,,,,,,,,,515.0,380.0,23.0,,,,,Plates,,,0
1.0,1.0,,,,,,,,,,,,,380.0,240.0,29.0,,,ZM35/35,,Plates,Without surface treatment (U),Oiled (O),0
2.5,2.5,,,,,,,,,,,,,460.0,340.0,26.0,,,,,Plates,,,0
3.0,3.0,1250.0,1250.0,,,,,,,,,,,550.0,420.0,19.0,,,,,Plates,Phosphated (P),Oiled (O),0
10.0,25.0,610.0,1520.0,,,,,,25000.0,,,,,310.0,280.0,38.0,,,,Oiled,Coils,,,0
15.0,25.0,610.0,1520.0,,,,,,25000.0,,,,,,,,,,,NK,Coils,,,0
,,25.0,60.0,,,,,,,610.0,610.0,,,340.0,380.0,28.0,,,,,,Oiled (O),,0
3.92,4.08,600.0,1520.0,,,,,,25000.0,,,610.0,610.0,680.0,550.0,15.0,,,,Hot Rolled,Coils,,Oiled (O),2
4.0,4.0,208.6,208.6,,,,,8000.0,8000.0,,,,,515.0,380.0,23.0,,,,,Strips,,,0
4.0,4.0,208.6,208.6,,,,,8000.0,8000.0,,,,,550.0,420.0,21.0,,,,,Strips,,,0
4.0,4.0,208.6,208.6,,,,,8000.0,8000.0,,,,,430.0,300.0,25.0,,,,,Strips,,,0
0.9,0.9,1150.0,,,,,,50000.0,50000.0,,,,,430.0,300.0,27.0,,,Z100,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
19.0,19.0,,,6000.0,,6000.0,,8000.0,8000.0,,,,,1300.0,1000.0,10.0,,39.5,,As Rolled (+AR),Round Bars,,,2
1.4,1.55,,,,,,,,,,,,,385.0,350.0,22.0,,,Z200,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, conventional surface (MA)",Chemically passivated (C),0
0.75,0.8,1000.0,1500.0,,,,,48000.0,48000.0,,,,,385.0,350.0,22.0,,,ZM310,,Coils,,,0
,,85.0,85.0,6000.0,,6000.0,,6000.0,6000.0,,,,,600.0,320.0,10.0,,175.0,,As Rolled (+AR),Round Bars,,,2
3.5,3.5,,1520.0,,,,,,25000.0,610.0,610.0,,,435.0,235.0,26.0,,,,,Coils,Oiled (O),,0
1.73,1.8,,1520.0,,,,,,25000.0,,,,,310.0,210.0,38.0,,,,Oiled,Slit Coils,,,0
2.0,2.0,1125.0,,,,,,,,,,,,850.0,700.0,12.0,,,,Hot Rolled,Coils,,Pickled and Oiled,2
3.9,4.1,,1520.0,,,,,,25000.0,610.0,610.0,,,450.0,315.0,24.0,,,,Oiled,Coils,,,0
,,610.0,610.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,,,,0
2.0,2.0,,,,,,,25000.0,25000.0,,,,,515.0,380.0,23.0,,,ZE50/50,Electro-Galvanized (+ZE),Coils,,,0
1.4,1.4,,,,,,,,25000.0,,,,,385.0,350.0,22.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,Chemically passivated (C),0
1.9,1.9,,,,,,,,25000.0,,,,,385.0,350.0,22.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,Chemically passivated (C),0
2.5,2.5,,,,,,,,25000.0,,,,,385.0,350.0,22.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,Chemically passivated (C),0
3.0,3.0,,,,,,,,25000.0,,,,,385.0,350.0,22.0,,,Z140,Hot-dip Galvanized (+Z/+GI),Coils,,Chemically passivated (C),0
1.15,1.15,712.0,,,,,,,,,,,,880.0,420.0,17.0,,,,Hot-dip Galvanized (+Z/+GI),Coils,"Minimized spangle, improved surface (MB)",Oiled (O),2
1.2,1.2,800.0,,,,,,,,,,,,310.0,210.0,38.0,,,,Cold Rolled,Coils,,,0
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
